Symbol,Company Name,Market Cap,Stock Price,% Change,Industry,Volume,PE Ratio,Ent. Value,MC Group,Sector,Change 1W,Change 1M,Change 6M,Change 3M,Change YTD,Change 1Y,Change 5Y
DUOL,"Duolingo, Inc.",14780544323,336.00,-0.01%,Software - Application,156229,183.63,13951697323,Large-Cap,Technology,5.02%,-1.78%,91.76%,16.66%,3.64%,72.68%,
BSY,"Bentley Systems, Incorporated",13378566240,46.08,-1.04%,Software - Application,168777,41.42,14765294240,Large-Cap,Technology,0.39%,-3.28%,-3.94%,-6.00%,-0.30%,-7.38%,
AKAM,"Akamai Technologies, Inc.",14288089970,95.00,-0.12%,Software - Infrastructure,237261,28.22,17239130970,Large-Cap,Technology,5.07%,-0.81%,0.06%,-10.40%,-0.56%,-20.97%,0.17%
WIX,Wix.com Ltd.,13076763000,233.00,-0.85%,Software - Infrastructure,112430,146.88,13085041000,Large-Cap,Technology,-2.83%,6.16%,43.91%,36.26%,9.53%,84.82%,67.40%
RBRK,"Rubrik, Inc.",13217140350,70.39,-1.35%,Software - Infrastructure,565966,,12902154350,Large-Cap,Technology,6.92%,7.91%,110.72%,85.23%,9.16%,,
MNDY,monday.com Ltd.,12651670500,246.42,-2.89%,Software - Application,238820,604.17,11354925500,Large-Cap,Technology,8.37%,4.64%,10.98%,-12.42%,7.78%,29.71%,
YMM,Full Truck Alliance Co. Ltd.,11722907283,11.31,0.76%,Software - Application,696645,26.63,8319979416,Large-Cap,Technology,0.72%,-0.88%,42.03%,26.49%,3.70%,67.96%,
PCOR,"Procore Technologies, Inc.",11742969360,78.18,-1.03%,Software - Application,143252,,11059944360,Large-Cap,Technology,2.89%,3.21%,15.74%,25.38%,5.42%,14.20%,
KVYO,"Klaviyo, Inc.",11494480112,42.69,0.14%,Software - Infrastructure,256844,,10709780112,Large-Cap,Technology,6.10%,-3.29%,68.70%,12.16%,3.37%,68.77%,
PAYC,"Paycom Software, Inc.",11600319291,205.21,-1.13%,Software - Application,145862,25.01,11355346291,Large-Cap,Technology,1.08%,0.16%,31.29%,23.69%,1.27%,7.22%,-30.76%
PCTY,Paylocity Holding Corporation,11023372232,199.16,0.72%,Software - Application,283223,50.57,10615484232,Large-Cap,Technology,1.06%,0.46%,38.34%,15.33%,-0.87%,29.67%,40.26%
DAY,Dayforce Inc.,11023230000,69.73,-0.24%,Software - Application,174209,211.82,11766330000,Large-Cap,Technology,-0.47%,-6.60%,31.05%,7.89%,-3.77%,5.49%,-3.21%
ESTC,Elastic N.V.,10748711040,103.16,1.96%,Software - Application,692178,188.90,10137132040,Large-Cap,Technology,2.02%,-2.36%,-9.53%,25.77%,2.12%,-15.91%,43.87%
NICE,NICE Ltd.,10372144118,161.89,-1.88%,Software - Application,299469,25.50,9412086118,Large-Cap,Technology,-1.29%,-6.27%,-6.74%,-7.37%,-2.86%,-22.26%,-6.85%
FOUR,"Shift4 Payments, Inc.",7919821100,115.12,-0.47%,Software - Infrastructure,218878,63.03,9365521100,Large-Cap,Technology,13.57%,11.73%,74.37%,22.28%,11.45%,53.78%,
DSGX,The Descartes Systems Group Inc.,10299799154,120.21,-0.17%,Software - Application,46196,75.73,10125459154,Large-Cap,Technology,4.73%,5.14%,21.13%,13.06%,6.00%,38.51%,159.67%
GTLB,GitLab Inc.,10335263873,63.31,-0.58%,Software - Infrastructure,713161,,9418291873,Large-Cap,Technology,1.19%,6.43%,18.87%,14.88%,13.01%,-6.86%,
DBX,"Dropbox, Inc.",9660484158,31.03,-0.51%,Software - Infrastructure,618426,18.03,10792784158,Mid-Cap,Technology,2.55%,3.12%,34.64%,18.70%,3.85%,-4.66%,77.95%
DOX,Amdocs Limited,9524744075,85.00,-0.21%,Software - Infrastructure,155457,19.80,9800153075,Mid-Cap,Technology,1.09%,-2.10%,3.02%,-5.65%,0.05%,-8.07%,14.32%
BILL,"BILL Holdings, Inc.",9510339330,91.38,-0.56%,Software - Application,559173,1312.71,8384392330,Mid-Cap,Technology,5.51%,2.65%,71.41%,61.13%,8.48%,26.75%,109.70%
ALTR,Altair Engineering Inc.,9445790012,110.39,-0.01%,Software - Application,401369,269.20,9191927012,Mid-Cap,Technology,0.23%,1.26%,20.47%,7.16%,1.16%,25.25%,180.48%
U,Unity Software Inc.,9426456000,23.19,0.56%,Software - Application,3923943,,10259263000,Mid-Cap,Technology,4.63%,2.44%,42.26%,5.44%,2.63%,-30.42%,
PEGA,Pegasystems Inc.,9099764487,107.99,1.39%,Software - Application,183295,76.47,8964749487,Mid-Cap,Technology,3.71%,11.60%,77.21%,50.77%,14.05%,121.90%,20.17%
APPF,"AppFolio, Inc.",9360189126,256.40,-0.47%,Software - Application,41829,71.36,9067223126,Mid-Cap,Technology,1.40%,1.59%,-5.18%,28.91%,3.68%,40.49%,104.08%
CFLT,"Confluent, Inc.",9164177785,27.95,0.04%,Software - Infrastructure,1244459,,8418018785,Mid-Cap,Technology,0.47%,-6.80%,14.65%,26.03%,-0.07%,27.06%,
VERX,"Vertex, Inc.",8832012705,56.46,-0.31%,Software - Application,96743,298.05,8871359705,Mid-Cap,Technology,1.85%,5.79%,49.34%,31.97%,6.15%,121.82%,
TTAN,"ServiceTitan, Inc.",8544484965,97.80,2.77%,Software - Application,56233,,8647134965,Mid-Cap,Technology,-3.75%,-8.11%,,,-7.49%,,
INFA,Informatica Inc.,8597475532,24.70,-0.92%,Software - Infrastructure,242257,106.89,9227472532,Mid-Cap,Technology,2.09%,-7.19%,1.55%,-7.05%,-3.86%,-17.70%,
CCCS,CCC Intelligent Solutions Holdings Inc.,7678277100,11.49,-1.80%,Software - Application,1336788,167.14,8217957100,Mid-Cap,Technology,6.36%,-2.90%,4.56%,3.27%,-0.26%,6.95%,
PATH,UiPath Inc.,7427829390,13.66,1.56%,Software - Infrastructure,1916742,,5935148390,Mid-Cap,Technology,1.31%,2.08%,10.50%,7.00%,6.41%,-42.42%,
OTEX,Open Text Corporation,7550992000,28.52,0.42%,Software - Application,94749,16.42,13228612000,Mid-Cap,Technology,0.82%,2.90%,-8.21%,-15.15%,0.28%,-31.02%,-39.12%
S,"SentinelOne, Inc.",7461549282,23.01,-0.90%,Software - Infrastructure,1019841,,6821385282,Mid-Cap,Technology,4.37%,3.34%,,-10.47%,4.41%,-11.83%,
SPSC,"SPS Commerce, Inc.",7289338443,193.97,-0.03%,Software - Application,23255,92.84,7096735443,Mid-Cap,Technology,3.53%,3.03%,-4.06%,0.56%,5.46%,4.92%,240.17%
OS,"OneStream, Inc.",6687407134,30.03,0.82%,Software - Infrastructure,569899,,6211805134,Mid-Cap,Technology,3.18%,0.15%,,-1.38%,4.16%,,
WEX,WEX Inc.,7243345431,182.09,-0.40%,Software - Infrastructure,65530,23.10,6787645431,Mid-Cap,Technology,-0.94%,7.44%,-1.30%,-13.88%,3.80%,-10.76%,-17.99%
CWAN,"Clearwater Analytics Holdings, Inc.",7464065227,28.54,0.22%,Software - Application,196093,2825.00,7231744227,Mid-Cap,Technology,5.64%,-0.77%,42.12%,5.33%,3.49%,52.71%,
CVLT,"Commvault Systems, Inc.",7118592800,161.35,-0.89%,Software - Application,136942,41.32,6828026800,Mid-Cap,Technology,0.85%,2.56%,34.46%,17.17%,7.88%,106.02%,257.49%
HCP,"HashiCorp, Inc.",7008456152,34.29,0.02%,Software - Infrastructure,300874,,5662055152,Mid-Cap,Technology,-0.06%,0.03%,2.39%,1.33%,0.20%,58.19%,
SRAD,Sportradar Group AG,6103361340,20.53,0.51%,Software - Application,132972,102.28,5769000073,Mid-Cap,Technology,2.36%,22.86%,82.48%,60.09%,17.76%,81.03%,
SOUN,"SoundHound AI, Inc.",6056508587,16.43,0.28%,Software - Application,33327833,,5964743587,Mid-Cap,Technology,17.93%,-24.71%,232.25%,203.90%,-17.44%,785.41%,
QXO,"QXO, Inc.",5723831624,13.99,0.07%,Software - Application,455157,,687388624,Mid-Cap,Technology,-6.92%,-9.46%,-76.15%,-9.40%,-12.08%,-87.51%,-42.89%
QTWO,"Q2 Holdings, Inc.",5680110040,93.68,-0.39%,Software - Application,103429,,5812496040,Mid-Cap,Technology,0.77%,-10.17%,41.56%,12.73%,-6.57%,116.18%,7.84%
LYFT,"Lyft, Inc.",5452358120,13.42,,Software - Application,4280193,,4364856120,Mid-Cap,Technology,0.15%,-1.11%,8.75%,-4.42%,4.03%,6.09%,-72.03%
ACIW,"ACI Worldwide, Inc.",5532370305,52.24,-1.22%,Software - Infrastructure,364181,25.01,6372408305,Mid-Cap,Technology,-1.12%,-0.30%,27.61%,7.87%,1.87%,76.21%,43.11%
INTA,"Intapp, Inc.",5392221640,69.90,0.31%,Software - Application,122354,,5156800640,Mid-Cap,Technology,5.00%,6.92%,91.64%,41.12%,8.75%,60.08%,
WK,Workiva Inc.,5263548300,97.44,-1.49%,Software - Application,855899,,5273723300,Mid-Cap,Technology,-16.54%,-17.33%,30.97%,19.09%,-13.34%,-1.78%,114.34%
FRSH,Freshworks Inc.,5230297319,17.52,1.42%,Software - Application,741813,,4200844319,Mid-Cap,Technology,2.98%,12.66%,31.93%,53.10%,6.80%,-18.69%,
TENB,"Tenable Holdings, Inc.",5176617150,43.16,2.13%,Software - Infrastructure,412464,,5035307150,Mid-Cap,Technology,1.17%,4.97%,-2.18%,3.63%,9.42%,-9.47%,60.90%
QLYS,"Qualys, Inc.",5158514592,141.51,0.38%,Software - Infrastructure,77030,31.12,4819770592,Mid-Cap,Technology,3.11%,0.02%,-1.82%,14.03%,0.39%,-28.89%,63.49%
CLBT,Cellebrite DI Ltd.,4966917340,23.68,-0.82%,Software - Infrastructure,219899,,4608427340,Mid-Cap,Technology,4.19%,6.00%,90.20%,31.51%,8.35%,179.84%,
VRNS,"Varonis Systems, Inc.",5046573770,44.55,-0.72%,Software - Infrastructure,342973,,4912651770,Mid-Cap,Technology,-0.53%,-0.95%,-4.47%,-23.33%,0.99%,0.61%,58.57%
BRZE,"Braze, Inc.",4586450945,44.55,0.04%,Software - Application,120215,,4185963945,Mid-Cap,Technology,0.22%,-0.28%,11.92%,41.62%,5.50%,-19.56%,
RELY,"Remitly Global, Inc.",4508862307,23.15,0.13%,Software - Infrastructure,211733,,4198112307,Mid-Cap,Technology,-1.08%,1.15%,69.66%,57.62%,1.33%,38.61%,
CORZ,"Core Scientific, Inc.",4504379138,16.25,1.72%,Software - Infrastructure,3669807,,4818319138,Mid-Cap,Technology,9.91%,13.02%,53.71%,24.47%,13.67%,,
ASAN,"Asana, Inc.",4622495650,19.80,-2.03%,Software - Application,573216,,4435853650,Mid-Cap,Technology,2.75%,-6.78%,40.25%,66.47%,-0.30%,11.35%,
ZETA,Zeta Global Holdings Corp.,4483017315,19.04,0.86%,Software - Infrastructure,1307203,,4260568315,Mid-Cap,Technology,5.53%,-2.68%,-8.13%,-29.79%,4.95%,93.44%,
BOX,"Box, Inc.",4470631440,31.32,-0.35%,Software - Infrastructure,241473,38.99,4525973440,Mid-Cap,Technology,-0.88%,-1.87%,17.06%,-1.35%,-0.54%,19.83%,93.18%
IDCC,"InterDigital, Inc.",4482350141,176.92,2.63%,Software - Application,58039,18.81,4141692141,Mid-Cap,Technology,2.77%,-6.86%,43.17%,15.31%,-8.92%,64.82%,200.78%
EEFT,"Euronet Worldwide, Inc.",4311886540,97.27,-0.90%,Software - Infrastructure,80899,14.18,4385586540,Mid-Cap,Technology,-2.83%,-6.43%,-5.68%,-0.06%,-5.68%,-4.11%,-42.01%
AI,"C3.ai, Inc.",4122361733,33.06,-1.69%,Software - Application,2232276,,3391987733,Mid-Cap,Technology,5.99%,-7.46%,20.84%,31.62%,-2.32%,35.55%,
GBTG,"Global Business Travel Group, Inc.",4201582860,8.97,-0.06%,Software - Application,58834,,5142582860,Mid-Cap,Technology,,-4.88%,31.91%,16.19%,-3.34%,60.75%,
PYCR,"Paycor HCM, Inc.",3980987010,22.10,,Software - Application,299546,,3896022010,Mid-Cap,Technology,0.14%,15.95%,72.52%,55.09%,19.01%,9.19%,
PAY,"Paymentus Holdings, Inc.",3840652817,30.99,-0.82%,Software - Infrastructure,91380,96.66,3659111817,Mid-Cap,Technology,2.97%,-8.65%,57.06%,25.51%,-4.38%,91.19%,
FROG,JFrog Ltd.,3826610900,34.36,0.17%,Software - Application,126657,,3374667900,Mid-Cap,Technology,3.22%,11.15%,-9.24%,10.97%,16.63%,1.06%,
BLKB,"Blackbaud, Inc.",3898669599,76.67,-0.72%,Software - Application,28003,75.48,4472008599,Mid-Cap,Technology,0.95%,1.21%,-0.16%,-10.15%,4.48%,-5.60%,-5.71%
ALIT,"Alight, Inc.",3735529590,7.03,-0.28%,Software - Application,1887558,,5466529590,Mid-Cap,Technology,3.83%,2.77%,-3.16%,-1.40%,1.88%,-17.16%,
RUM,Rumble Inc.,3581076070,13.17,4.44%,Software - Application,4136757,,3451166964,Mid-Cap,Technology,15.90%,75.38%,94.30%,124.78%,-3.07%,251.25%,
