Symbol,Company Name,Market Cap,Stock Price,% Change,Industry,Volume,PE Ratio
KLIC,"Kulicke and Soffa Industries, Inc.",2467305540,45.70,-1.87%,Semiconductor Equipment & Materials,66047,
SDRL,Seadrill Limited,2585407895,37.44,-0.32%,Oil & Gas Drilling,138032,6.53
EPAC,Enerpac Tool Group Corp.,2448553002,44.85,-0.36%,Specialty Industrial Machinery,47293,27.45
PPBI,"Pacific Premier Bancorp, Inc.",2355079452,25.30,3.58%,Banks - Regional,173753,
CCS,"Century Communities, Inc.",2421104346,77.68,0.54%,Real Estate - Development,45926,7.70
CSAN,Cosan S.A.,9705312707,5.14,-1.34%,Oil & Gas Refining & Marketing,186517,5.97
BB,BlackBerry Limited,2419574470,4.10,0.12%,Software - Infrastructure,7432406,
FLNC,"Fluence Energy, Inc.",2415217325,13.38,0.34%,Utilities - Renewable,1380989,102.54
BKE,"The Buckle, Inc.",2437650138,48.55,1.13%,Apparel Retail,72148,12.19
B,Barnes Group Inc.,2419434864,47.48,0.03%,Specialty Industrial Machinery,453792,
SPB,"Spectrum Brands Holdings, Inc.",2396439645,86.02,0.52%,Household & Personal Products,83847,20.82
CXW,"CoreCivic, Inc.",2452427040,21.82,-1.89%,Security & Protection Services,311453,33.19
TRIP,"Tripadvisor, Inc.",2193146452,17.11,8.70%,Travel Services,2334601,62.96
APPN,Appian Corporation,2426458439,32.58,-0.79%,Software - Infrastructure,152805,
MGNI,"Magnite, Inc.",2310129800,16.85,2.59%,Advertising Agencies,873130,126.31
MCW,"Mister Car Wash, Inc.",2304087386,7.34,2.59%,Auto & Truck Dealerships,392059,32.50
RVLV,"Revolve Group, Inc.",2208426841,33.30,6.70%,Internet Retail,462845,55.73
SHO,"Sunstone Hotel Investors, Inc.",2324424570,11.66,1.13%,REIT - Hotel & Motel,653052,15.18
VSH,"Vishay Intertechnology, Inc.",2336422424,17.22,0.12%,Semiconductors,324683,27.74
ROIC,Retail Opportunity Investments Corp.,2248417120,17.44,,REIT - Retail,260629,37.91
DFH,"Dream Finders Homes, Inc.",2266798505,24.90,1.36%,Residential Construction,59985,8.08
RNST,Renasant Corporation,2321419181,36.48,-0.12%,Banks - Regional,74179,11.93
MLCO,Melco Resorts & Entertainment Limited,2310499234,5.52,0.73%,Resorts & Casinos,1185488,
FLYW,Flywire Corporation,2347943040,18.62,-2.82%,Software - Infrastructure,1191891,119.75
SEMR,"Semrush Holdings, Inc.",2304680659,15.74,,Software - Application,205055,196.75
TNDM,"Tandem Diabetes Care, Inc.",2308200593,35.13,0.37%,Medical Devices,203915,
EXTR,"Extreme Networks, Inc.",2281971433,17.29,0.12%,Communication Equipment,160856,
PWP,Perella Weinberg Partners,2356907907,25.87,-1.18%,Capital Markets,80137,
LMND,"Lemonade, Inc.",2262094560,31.89,0.65%,Insurance - Property & Casualty,340635,
SBCF,Seacoast Banking Corporation of Florida,2295372465,26.81,0.15%,Banks - Regional,68555,19.54
ACLS,"Axcelis Technologies, Inc.",2294280538,69.72,-1.22%,Semiconductor Equipment & Materials,140685,10.44
CWH,"Camping World Holdings, Inc.",1349821965,22.56,3.49%,Auto & Truck Dealerships,230984,
LSPD,Lightspeed Commerce Inc.,2248475200,14.70,-0.68%,Software - Application,53899,
SEI,"Solaris Energy Infrastructure, Inc.",2319740087,33.50,-3.07%,Oil & Gas Equipment & Services,334065,78.55
PTGX,"Protagonist Therapeutics, Inc.",2197974240,37.47,1.60%,Biotechnology,124446,13.46
NGD,New Gold Inc.,2222429000,2.80,-0.53%,Gold,4469171,140.50
MBC,"MasterBrand, Inc.",2183637099,17.49,1.78%,"Furnishings, Fixtures & Appliances",160308,15.07
CNTA,Centessa Pharmaceuticals plc,2186857684,16.77,0.54%,Biotechnology,139508,
GBX,"The Greenbrier Companies, Inc.",2152495488,70.22,3.76%,Railroads,73905,11.98
INTR,"Inter & Co, Inc.",1998887029,5.01,0.80%,Banks - Regional,549501,14.98
KAR,"OPENLANE, Inc.",2173206960,20.57,1.11%,Auto & Truck Dealerships,87269,107.05
NEXT,NextDecade Corporation,2264531700,8.43,-2.77%,Oil & Gas Exploration & Production,1036885,
MESO,Mesoblast Limited,2033144580,17.79,1.17%,Biotechnology,61125,
PSNY,Polestar Automotive Holding UK PLC,2167206770,1.03,-0.48%,Auto Manufacturers,2116112,
KC,Kingsoft Cloud Holdings Limited,2547753462,9.45,-0.74%,Software - Application,456059,
CLOV,"Clover Health Investments, Corp.",2159778600,4.33,0.35%,Healthcare Plans,2913181,
VERA,"Vera Therapeutics, Inc.",2138421087,34.01,0.70%,Biotechnology,243944,
APLD,Applied Digital Corporation,2148789441,9.62,-0.21%,Information Technology Services,8130569,
CHEF,"The Chefs' Warehouse, Inc.",2118143475,53.05,-0.94%,Food Distribution,62323,46.57
AVDX,"AvidXchange Holdings, Inc.",2121034751,10.34,-0.29%,Software - Infrastructure,181053,
DBRG,"DigitalBridge Group, Inc.",1975161050,11.42,-0.39%,Real Estate Services,368367,14.94
CNMD,CONMED Corporation,2133943372,68.62,-3.35%,Medical Devices,136695,16.41
UPWK,Upwork Inc.,2142682010,15.85,-1.12%,Internet Content & Information,716985,25.85
CRTO,Criteo S.A.,2098661527,38.12,-0.51%,Advertising Agencies,56446,22.40
BTE,Baytex Energy Corp.,2054926080,2.61,,Oil & Gas Exploration & Production,12990208,
CVI,"CVR Energy, Inc.",2051837710,20.86,2.18%,Oil & Gas Refining & Marketing,110539,29.58
BEAM,Beam Therapeutics Inc.,2184411728,26.33,-0.23%,Biotechnology,372034,
CERT,"Certara, Inc.",2091234120,12.85,-1.09%,Health Information Services,373209,
ENVX,Enovix Corporation,2062914300,10.97,-4.11%,Electrical Equipment & Parts,1781677,
OSW,OneSpaWorld Holdings Limited,2058843600,19.85,-0.55%,Leisure,107780,40.36
PAGS,PagSeguro Digital Ltd.,2191896060,6.62,-0.53%,Software - Infrastructure,1342719,5.82
WOR,"Worthington Enterprises, Inc.",2094841840,41.23,-1.51%,Metal Fabrication,46585,49.25
TRUP,"Trupanion, Inc.",2036298915,48.71,4.70%,Insurance - Specialty,250365,
HIMX,"Himax Technologies, Inc.",1733024000,11.78,18.75%,Semiconductors,9484529,22.55
EVTC,"EVERTEC, Inc.",2049646302,32.21,-0.05%,Software - Infrastructure,51064,25.17
MXL,"MaxLinear, Inc.",2043242796,24.28,0.21%,Semiconductors,298868,
GENI,Genius Sports Limited,1996717574,8.77,0.91%,Internet Content & Information,574581,
ZIM,ZIM Integrated Shipping Services Ltd.,1988264600,16.92,2.42%,Marine Shipping,3128195,1.38
WGS,GeneDx Holdings Corp.,2081507978,74.09,-2.22%,Health Information Services,188992,
